name,games,roi,avg.stake,reg,be
Spartas,2173,7.3,13.84,0,1
Bluefish84,2526,8.6,8.68,0,1
Ice Bank Mice Elf,1196,5.7,13.35,0,1
MinCashSpecialist,1516,4.0,25.1,0,1
atasheli,315,10.9,35.94,0,1
LeGerr,1582,-2.5,19.16,0,1
NHULGG,3185,-3.6,7.03,0,1
bradlohaus54,1143,-3.7,28.18,0,1
MrGoldenPare,1499,7.5,7.7,0,1
HeWasntReadyyy,1099,-2.9,13.71,0,1
Thrash370,4017,4.0,21.23,0,1
BarneyR,1576,-0.4,19.11,0,1
PlayBadAndWin,769,-1.5,16.35,0,1
solasso,5735,0.3,17.67,0,1
Trane888,6620,3.7,15.24,0,1
checkfold66,818,1.6,8.67,0,1
wantaction,984,1.3,7.92,0,1
PeterPaul,1119,1.3,25.3,0,1
LRI96,1616,6.8,7.5,0,1
GAHHHHH,401,10.9,35.95,0,1
gconedog,7093,3.1,17.32,0,1
MysticRiver5,4079,7.7,13.78,0,1
Skipper888,3666,3.4,14.16,0,1
MaxxPower,9261,0.6,4.79,0,1
IpoDonk,1956,2.5,15.35,0,1
Osubeavss,649,3.6,16.31,0,1
Tarrget,6510,5.9,3.69,0,1
NorocDeRO,618,4.6,17.5,0,1
Shaicakes,766,3.3,13.13,0,1
Mithrandir89,2170,1.1,3.98,0,1
5leazyway,1703,6.9,7.2,0,1
Justwindoggsy,1676,-3.4,19.91,0,1
Mastitis,6222,0.9,4.02,0,1
VictoryIsBrewing,1049,5.6,12.72,0,1
BearDown99,1815,7.0,18.29,0,1
k1k1272,2542,-0.4,5.79,0,1
meowmeow33,4786,9.6,3.46,0,1
criativus,473,6.0,12.28,0,1
KvaziRock,5739,8.9,3.71,0,1
Swiggy,690,9.4,14.16,0,1
KStrat45,733,1.0,10.28,0,1
TA65188,4613,1.8,22.65,0,1
FTHater,1552,2.2,17.27,0,1
otlichno,4152,6.2,3.76,0,1
GodForgives714,532,6.7,29.82,0,1
PimpinDonks,1737,0.0,25.65,0,1
fabbagel,2610,8.3,3.87,0,1
Mr_Mojorisin,944,7.2,11.01,0,1
streetbloodr,702,3.3,5.42,0,1
TheDarkHalf,1006,4.8,16.67,0,1
jwalk,889,1.4,14.5,0,1
MindsetTo1st,1847,6.9,15.09,0,1
